Csapatok,Asztalitenisz ,Beer-pong ,Bemutatkozó ,Biliárd ,Bogrács ,Bolc ,Chest-Pong ,City Tour ,Csocsó ,Erotik show ,Férfi foci,Fotómaraton ,Karaoke ,Kézilabda ,Klán slam ,Klán tour ,Klán tour II ,Klán tour III ,Kocsma-kviz ,Korrektúra ,Kosárlabda ,Krucsa ,Kultúrmaraton ,Lábtenisz ,Néptánc ,Női Foci ,Orosz roulette ,LOL,CS:GO,Póker ,Rádió spot ,Sakk ,Staféta ,Táblé ,Táncmaraton ,Thumper ,Úszás ,Vízimajális ,Összesen
APACSOK,90,70,262,40,100,90,40,139,115,125,90,102,200,90,150,106,95,88,154,101,40,85,266,75,151,40,40,150,105,96,130,40,40,40,255,46,40,141,4027
BALLS & DOLLS,140,70,299,55,107,74,40,200,90,188,180,197,300,300,300,120,99,106,185,141,140,40,311,40,188,90,40,40,150,109,150,50,136,55,244,85,148,131,5338
B'AWESOME,65,40,273,40,76,70,70,70,90,122,40,116,67,40,235,65,102,88,159,135,140,70,290,40,138,90,40,40,65,44,0,60,90,40,241,124,54,127,3656
BEER-KA,115,40,272,55,106,126,40,91,40,145,180,103,93,90,227,97,90,74,117,130,40,40,281,40,168,40,40,40,40,114,140,50,48,70,188,52,140,136,3898
BEEZ-MUTE,65,70,283,70,94,130,100,113,65,153,140,104,142,180,150,106,95,88,105,100,40,130,297,120,154,90,40,150,105,115,140,70,104,85,233,76,50,54,4406
BETA HOUSE,90,70,274,55,95,68,70,88,90,158,140,115,152,210,219,95,103,62,148,125,40,55,216,75,152,300,85,65,65,40,140,115,148,55,210,58,112,130,4488
BIO-BETON,65,40,246,40,87,102,0,81,40,0,40,81,62,140,130,106,95,63,144,105,40,40,294,60,55,40,85,65,40,78,140,0,64,85,265,79,92,123,3312
BORÁSZOK,160,40,289,70,101,62,40,106,40,147,40,87,80,90,259,113,96,120,169,136,40,40,273,40,105,90,55,40,40,98,130,40,50,40,224,118,56,146,3870
BUMMERáNGA,65,70,251,40,87,66,40,152,40,144,90,105,270,40,251,47,88,88,156,140,40,70,275,40,165,40,40,105,65,110,130,40,80,130,204,67,58,89,3978
BúVáRMEDVéK,40,70,274,70,86,106,70,148,65,162,40,113,67,90,259,119,115,100,188,133,40,55,300,40,128,140,40,90,90,100,140,60,132,55,244,79,108,191,4347
CSíKI-SHARE,40,40,281,70,83,58,70,125,40,142,40,114,91,40,268,119,106,77,175,111,90,40,255,40,79,140,40,40,40,70,130,40,68,40,224,109,126,137,3798
CSíKLóNOK,40,40,250,55,100,116,0,145,40,178,40,118,89,40,97,89,90,78,159,105,90,40,267,60,149,40,55,120,40,112,150,60,108,100,215,67,136,141,3819
CUM WITH US,90,70,291,40,108,118,130,145,140,189,40,134,93,40,259,119,115,100,153,138,40,70,330,40,192,90,40,90,90,48,140,50,76,70,279,49,124,188,4518
DíP PöRPöL,180,220,298,120,99,100,180,83,40,181,270,142,100,240,134,108,120,69,123,125,300,40,281,135,149,140,70,40,135,111,140,130,146,40,228,130,138,87,5372
EZ EGY FA,65,40,300,40,101,64,40,129,65,200,40,135,84,90,259,119,115,100,161,105,40,40,302,40,155,40,40,90,90,88,140,40,130,40,296,52,118,139,4132
FAXADAT,65,100,270,55,85,49,40,89,65,0,40,115,69,40,142,99,102,45,142,105,40,120,243,75,102,90,0,40,65,108,0,0,94,40,231,0,94,98,3157
FőNIX,40,40,270,40,100,88,40,120,40,136,40,101,98,40,235,65,102,88,148,140,40,55,313,40,159,90,70,40,65,82,130,50,70,40,271,49,76,86,3697
FUCKTúRA,40,130,275,70,94,98,100,81,40,172,140,116,89,90,142,115,93,74,111,130,240,40,328,75,196,180,130,40,40,46,150,40,140,55,261,70,128,143,4502
HELP!,40,70,260,40,99,128,70,136,115,155,40,120,181,140,284,113,104,97,116,126,140,40,290,90,200,40,40,65,40,0,130,40,122,55,284,103,114,115,4342
HOW HIGH ,65,70,263,85,103,64,70,147,40,174,40,115,69,140,219,95,103,62,0,100,40,40,0,60,0,40,55,65,65,119,130,50,126,40,217,61,74,196,3402
HUE,40,70,265,40,81,0,40,109,90,127,0,124,152,90,97,89,90,78,0,110,40,40,256,0,178,40,55,120,40,56,0,0,54,40,202,0,90,85,2988
IGNORE,90,70,249,55,91,108,40,94,40,132,210,130,181,40,300,120,99,106,173,100,0,40,278,90,112,40,100,40,150,105,150,0,88,110,224,128,52,91,4226
IN-TEAM,65,40,256,40,96,114,0,38,65,0,90,104,210,40,142,76,84,60,102,112,40,85,238,60,123,90,70,135,40,84,120,50,40,40,265,112,40,137,3503
ITT-A-SOKK,90,70,269,40,79,94,0,75,40,137,40,134,89,90,251,47,88,88,151,134,40,40,265,60,173,40,55,105,65,80,130,50,102,70,211,88,80,35,3695
JéGER MEISTERS,40,40,257,0,0,86,40,76,0,0,40,120,133,40,142,76,84,60,132,149,40,55,268,40,0,40,40,135,40,107,130,40,0,40,0,61,40,135,2726
K.O.SER,40,40,245,55,92,82,40,124,40,157,90,117,84,270,142,106,106,77,184,125,90,70,293,90,189,90,40,65,90,102,140,40,52,55,214,64,68,48,4016
KANTROLL,40,100,267,40,95,52,0,112,65,27,40,117,250,40,227,97,90,74,0,115,140,55,268,60,167,40,40,40,40,62,120,70,40,70,201,115,40,68,3484
KáPáSOK,65,70,273,55,75,49,40,103,65,128,90,111,87,140,138,113,95,66,142,110,90,55,276,40,182,40,40,40,40,106,130,40,120,55,232,100,72,114,3787
